,airports,cities,countries,airports - cities
2977,Raiatea Airport,Uturoa,PF,Raiatea Airport - Uturoa
2978,Gaua Island Airport,Gaua Island,VU,Gaua Island Airport - Gaua Island
2979,Santo Pekoa International Airport,Luganville,VU,Santo Pekoa International Airport - Luganville
2980,Bauerfield International Airport,Port Vila,VU,Bauerfield International Airport - Port Vila
2981,Tanna Airport,,VU,Tanna Airport - nan
2982,Tiga Airport,Tiga,NC,Tiga Airport - Tiga
2983,Île Art - Waala Airport,Waala,NC,Île Art - Waala Airport - Waala
2984,Koné Airport,Koné,NC,Koné Airport - Koné
2985,Île des Pins Airport,Île des Pins,NC,Île des Pins Airport - Île des Pins
2986,Koumac Airport,Koumac,NC,Koumac Airport - Koumac
2987,Lifou Airport,Lifou,NC,Lifou Airport - Lifou
2988,Nouméa Magenta Airport,Nouméa,NC,Nouméa Magenta Airport - Nouméa
2989,Maré Airport,Maré,NC,Maré Airport - Maré
2990,Touho Airport,Touho,NC,Touho Airport - Touho
2991,Ouvéa Airport,Ouvéa,NC,Ouvéa Airport - Ouvéa
2992,La Tontouta International Airport,Nouméa (La Tontouta),NC,La Tontouta International Airport - Nouméa (La Tontouta)
2993,Auckland International Airport,Auckland,NZ,Auckland International Airport - Auckland
2994,Taupo Airport,Taupo,NZ,Taupo Airport - Taupo
2995,Ardmore Airport,Manurewa,NZ,Ardmore Airport - Manurewa
2996,Christchurch International Airport,Christchurch,NZ,Christchurch International Airport - Christchurch
2997,Chatham Islands / Tuuta Airport,Te One,NZ,Chatham Islands / Tuuta Airport - Te One
2998,Dunedin International Airport,Dunedin,NZ,Dunedin International Airport - Dunedin
2999,Gisborne Airport,Gisborne,NZ,Gisborne Airport - Gisborne
3000,Glentanner Airport,Glentanner Station,NZ,Glentanner Airport - Glentanner Station
3001,Hokitika Airfield,,NZ,Hokitika Airfield - nan
3002,Hamilton International Airport,Hamilton,NZ,Hamilton International Airport - Hamilton
3003,McMurdo Station Ice Runway,McMurdo Station,AQ,McMurdo Station Ice Runway - McMurdo Station
3004,Kerikeri Airport,Kerikeri,NZ,Kerikeri Airport - Kerikeri
3005,Kaitaia Airport,Kaitaia,NZ,Kaitaia Airport - Kaitaia
3006,Alexandra Aerodrome,Alexandra,NZ,Alexandra Aerodrome - Alexandra
3007,Mount Cook Airport,,NZ,Mount Cook Airport - nan
3008,Manapouri Airport,,NZ,Manapouri Airport - nan
3009,Hood Airport,Masterton,NZ,Hood Airport - Masterton
3010,New Plymouth Airport,New Plymouth,NZ,New Plymouth Airport - New Plymouth
3011,Hawke's Bay Airport,Napier,NZ,Hawke's Bay Airport - Napier
3012,Nelson Airport,Nelson,NZ,Nelson Airport - Nelson
3013,Invercargill Airport,Invercargill,NZ,Invercargill Airport - Invercargill
3014,RNZAF Base Ohakea,,NZ,RNZAF Base Ohakea - nan
3015,Oamaru Airport,,NZ,Oamaru Airport - nan
3016,McMurdo Station Pegasus Field,McMurdo Station,AQ,McMurdo Station Pegasus Field - McMurdo Station
3017,Palmerston North Airport,,NZ,Palmerston North Airport - nan
3018,Paraparaumu Airport,,NZ,Paraparaumu Airport - nan
3019,Queenstown International Airport,Queenstown,NZ,Queenstown International Airport - Queenstown
3020,Rotorua Regional Airport,Rotorua,NZ,Rotorua Regional Airport - Rotorua
3021,South Pole Station Airport,Amundsen-Scott South Pole Station,AQ,South Pole Station Airport - Amundsen-Scott South Pole Station
3022,Tauranga Airport,Tauranga,NZ,Tauranga Airport - Tauranga
3023,Timaru Airport,,NZ,Timaru Airport - nan
3024,Pukaki Airport,Twitzel,NZ,Pukaki Airport - Twitzel
3025,Woodbourne Airport,Blenheim,NZ,Woodbourne Airport - Blenheim
3026,Williams Field,McMurdo Station,AQ,Williams Field - McMurdo Station
3027,Wanaka Airport,Wanaka,NZ,Wanaka Airport - Wanaka
3028,Whakatane Airport,,NZ,Whakatane Airport - nan
