,airports,cities,countries,airports - cities
0,Aleknagik / New Airport,Aleknagik,US,Aleknagik / New Airport - Aleknagik
1,Khost International Airport,Khost,AF,Khost International Airport - Khost
2,Honiara International Airport,Honiara,SB,Honiara International Airport - Honiara
3,Munda Airport,Munda,SB,Munda Airport - Munda
4,Hongyuan Airport,Aba,CN,Hongyuan Airport - Aba
5,Nauru International Airport,Yaren District,NR,Nauru International Airport - Yaren District
6,Jack F. Paulus Skiway,Amundsen-Scott South Pole Station,AQ,Jack F. Paulus Skiway - Amundsen-Scott South Pole Station
7,Boulder Clay Runway,Zucchelli Station,AQ,Boulder Clay Runway - Zucchelli Station
8,Concordia Skyway,Concordia Station,AQ,Concordia Skyway - Concordia Station
9,Vostok Skiway,Vostok Station,AQ,Vostok Skiway - Vostok Station
10,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,Alxa Left Banner Bayanhot Airport - Bayanhot
11,Buka Airport,Buka Island,PG,Buka Airport - Buka Island
12,Chimbu Airport,Kundiawa,PG,Chimbu Airport - Kundiawa
13,Daru Airport,Daru,PG,Daru Airport - Daru
14,Goroka Airport,Goronka,PG,Goroka Airport - Goronka
15,Gurney Airport,Gurney,PG,Gurney Airport - Gurney
16,Girua Airport,Popondetta,PG,Girua Airport - Popondetta
17,Hoskins Airport,Kimbe,PG,Hoskins Airport - Kimbe
18,Kerema Airport,Kerema,PG,Kerema Airport - Kerema
19,Kavieng Airport,Kavieng,PG,Kavieng Airport - Kavieng
20,Madang Airport,Madang,PG,Madang Airport - Madang
21,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Mount Hagen Kagamuga Airport - Mount Hagen
22,Mendi Airport,Mendi,PG,Mendi Airport - Mendi
23,Momote Airport,Manus Island,PG,Momote Airport - Manus Island
24,Nadzab Airport,Lae,PG,Nadzab Airport - Lae
25,Port Moresby Jacksons International Airport,Port Moresby,PG,Port Moresby Jacksons International Airport - Port Moresby
26,Tokua Airport,Kokopo,PG,Tokua Airport - Kokopo
27,Vanimo Airport,Vanimo,PG,Vanimo Airport - Vanimo
28,Wapenamanda Airport,Wapenamanda,PG,Wapenamanda Airport - Wapenamanda
29,Wewak International Airport,Wewak,PG,Wewak International Airport - Wewak
30,Zabrat Airport,Baku,AZ,Zabrat Airport - Baku
31,Sitalchay Airbase,Sitalchay,AZ,Sitalchay Airbase - Sitalchay
32,Qizilagach Air Base,Qizilagach,AZ,Qizilagach Air Base - Qizilagach
33,Benguera Island Airport,Benguera Island,MZ,Benguera Island Airport - Benguera Island
34,Bezmer Air Base,Yambol,BG,Bezmer Air Base - Yambol
35,Aasiaat Airport,Aasiaat,GL,Aasiaat Airport - Aasiaat
36,Narsarsuaq Airport,Narsarsuaq,GL,Narsarsuaq Airport - Narsarsuaq
37,Godthaab / Nuuk Airport,Nuuk,GL,Godthaab / Nuuk Airport - Nuuk
38,Kulusuk Airport,Kulusuk,GL,Kulusuk Airport - Kulusuk
39,Kangerlussuaq Airport,Kangerlussuaq,GL,Kangerlussuaq Airport - Kangerlussuaq
40,Sisimiut Airport,Sisimiut,GL,Sisimiut Airport - Sisimiut
41,Thule Air Base,Thule,GL,Thule Air Base - Thule
42,Akureyri Airport,Akureyri,IS,Akureyri Airport - Akureyri
43,Egilsstaðir Airport,Egilsstaðir,IS,Egilsstaðir Airport - Egilsstaðir
44,Hornafjörður Airport,Höfn,IS,Hornafjörður Airport - Höfn
45,Húsavík Airport,Húsavík,IS,Húsavík Airport - Húsavík
46,Ísafjörður Airport,Ísafjörður,IS,Ísafjörður Airport - Ísafjörður
47,Keflavik International Airport,Reykjavík,IS,Keflavik International Airport - Reykjavík
48,Reykjavik Airport,Reykjavik,IS,Reykjavik Airport - Reykjavik
49,Siglufjörður Airport,Siglufjörður,IS,Siglufjörður Airport - Siglufjörður
50,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Vestmannaeyjar Airport - Vestmannaeyjar
51,Priština Adem Jashari International Airport,Prishtina,XK,Priština Adem Jashari International Airport - Prishtina
52,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,Glauber de Andrade Rocha Airport - Vitória da Conquista
53,Orsha Airport - Balbasovo Air Base,Orsha,BY,Orsha Airport - Balbasovo Air Base - Orsha
54,Bobrovichi Air Base,Kalinovichi,BY,Bobrovichi Air Base - Kalinovichi
55,Osovtsy Air Base,Byaroza,BY,Osovtsy Air Base - Byaroza
56,Big Creek Airport,Big Creek,BZ,Big Creek Airport - Big Creek
57,Caye Caulker Airport,Caye Caulker,BZ,Caye Caulker Airport - Caye Caulker
58,Caye Chapel Airport,Caye Chapel,BZ,Caye Chapel Airport - Caye Chapel
59,Corozal Municipal Airport,Corozal,BZ,Corozal Municipal Airport - Corozal
60,Dangriga Airport,Dangriga,BZ,Dangriga Airport - Dangriga
61,Placencia Airport,Placencia,BZ,Placencia Airport - Placencia
62,Punta Gorda Airport,Punta Gorda,BZ,Punta Gorda Airport - Punta Gorda
63,Sartaneja Airport,Sartaneja,BZ,Sartaneja Airport - Sartaneja
64,John Greif II Airport,San Pedro,BZ,John Greif II Airport - San Pedro
65,Sir Barry Bowen Municipal Airport,Belize City,BZ,Sir Barry Bowen Municipal Airport - Belize City
66,Bazaruto Island Airport,Bazaruto Island,MZ,Bazaruto Island Airport - Bazaruto Island
67,Boma Lukandu International Airport,Boma,CD,Boma Lukandu International Airport - Boma
68,Laohutun Air Base,"Wafangdian, Dalian",CN,"Laohutun Air Base - Wafangdian, Dalian"
69,Pulandian Air Base,"Pulandian, Dalian",CN,"Pulandian Air Base - Pulandian, Dalian"
70,Beijing Shahezhen Air Base,Beijing,CN,Beijing Shahezhen Air Base - Beijing
71,Beijing Tongxian Air Base,Beijing,CN,Beijing Tongxian Air Base - Beijing
72,Yuanmou Air Base,Yuanmou,CN,Yuanmou Air Base - Yuanmou
73,Fengning Air Base,,CN,Fengning Air Base - nan
74,Hohhot Bikeqi Air Base,Hohhot,CN,Hohhot Bikeqi Air Base - Hohhot
75,Huairen Air Base,Shuozhou,CN,Huairen Air Base - Shuozhou
76,Liangxiangzhen Air Base,Beijing,CN,Liangxiangzhen Air Base - Beijing
77,Tangguantun Air Base,Jinghai,CN,Tangguantun Air Base - Jinghai
78,Wenshui Air Base,Lüliang,CN,Wenshui Air Base - Lüliang
79,Yangcun Air Base,,CN,Yangcun Air Base - nan
80,Yongning Air Base,Yongning,CN,Yongning Air Base - Yongning
81,Zhangjiakou Ningyuan Airport,Zhangjiakou,CN,Zhangjiakou Ningyuan Airport - Zhangjiakou
82,Zunhua Air Base,,CN,Zunhua Air Base - nan
83,Chengdu Huangtianba Air Base,Chengdu,CN,Chengdu Huangtianba Air Base - Chengdu
84,Baoshan Yunrui Airport,Baoshan,CN,Baoshan Yunrui Airport - Baoshan
85,Chongqing Baishiyi Air Base,Chongqing,CN,Chongqing Baishiyi Air Base - Chongqing
86,Lincang Boshang Airport,Lincang,CN,Lincang Boshang Airport - Lincang
87,Luliang Air Base,Qujing (Luliang),CN,Luliang Air Base - Qujing (Luliang)
88,Mengzi Air Base,,CN,Mengzi Air Base - nan
89,Qionglai Air Base,"Qionglai, Chengdu",CN,"Qionglai Air Base - Qionglai, Chengdu"
90,Xigaze Peace Airport / Shigatse Air Base,Xigazê,CN,Xigaze Peace Airport / Shigatse Air Base - Xigazê
91,Wenshan Air Base,,CN,Wenshan Air Base - nan
92,Xiangyun Midu Air Base,Xiangyun,CN,Xiangyun Midu Air Base - Xiangyun
93,Bao'anying Airport,Panzhihua,CN,Bao'anying Airport - Panzhihua
94,Baihe Ningming Air Base,Ningming,CN,Baihe Ningming Air Base - Ningming
95,Changsha Datuopu Airport / Changsha Air Base,Changsha,CN,Changsha Datuopu Airport / Changsha Air Base - Changsha
96,Dangyang Air Base,Yichang,CN,Dangyang Air Base - Yichang
97,Foluo Northeast Air Base,Ledong Li Autonomous County (Da'anzhen),CN,Foluo Northeast Air Base - Ledong Li Autonomous County (Da'anzhen)
98,Foshan Shadi Airport,Foshan (Nanhai),CN,Foshan Shadi Airport - Foshan (Nanhai)
99,Guiping Mengxu Air Base,Guiping (Guigang),CN,Guiping Mengxu Air Base - Guiping (Guigang)
100,Xinyang Minggang Airport,Xinyang,CN,Xinyang Minggang Airport - Xinyang
101,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,Huizhou Pingtan Airport - Huizhou (Pingtan)
102,Jialaishi Air Base,Lingao,CN,Jialaishi Air Base - Lingao
103,Leiyang Air Base,,CN,Leiyang Air Base - nan
104,Lingshui Air Base,Lingshui Li Autonomous County,CN,Lingshui Air Base - Lingshui Li Autonomous County
105,Shangqiu Air Base,Shangqiu,CN,Shangqiu Air Base - Shangqiu
106,Zhengzhou Air Base,Zhengzhou,CN,Zhengzhou Air Base - Zhengzhou
107,Shaoguan Guitou Airport,Ruyuan Yao Autonomous County (Shaoguan),CN,Shaoguan Guitou Airport - Ruyuan Yao Autonomous County (Shaoguan)
108,Suixi Air Base,Zhanjiang (Suixi),CN,Suixi Air Base - Zhanjiang (Suixi)
109,Jinggangshan Airport,Ji'an,CN,Jinggangshan Airport - Ji'an
110,Baise Youjiang Airport,Baise (Tianyang),CN,Baise Youjiang Airport - Baise (Tianyang)
111,Guodu Air Base,"Xintai, Tai'an",CN,"Guodu Air Base - Xintai, Tai'an"
112,Xiaogan Air Base,Xiaogan,CN,Xiaogan Air Base - Xiaogan
113,Cangxian Air Base,Cangzhou,CN,Cangxian Air Base - Cangzhou
114,Dongying Shengli Airport,Dongying,CN,Dongying Shengli Airport - Dongying
115,Jiaozhou Jiaocheng Air Base,"Jiaozhou, Qingdao",CN,"Jiaozhou Jiaocheng Air Base - Jiaozhou, Qingdao"
116,Jiugucheng Air Base,Hengshui,CN,Jiugucheng Air Base - Hengshui
117,Kaifeng Air Base,Kaifeng,CN,Kaifeng Air Base - Kaifeng
118,Laiyang Air Base,Yantai,CN,Laiyang Air Base - Yantai
119,Luyang Air Base,Lushan,CN,Luyang Air Base - Lushan
120,Xingcheng Air Base,"Xingcheng, Huludao",CN,"Xingcheng Air Base - Xingcheng, Huludao"
121,Xuzhou Daguozhang Air Base,Xuzhou,CN,Xuzhou Daguozhang Air Base - Xuzhou
122,Zhucheng Air Base,Weifang,CN,Zhucheng Air Base - Weifang
123,Altay Airport,Altay,CN,Altay Airport - Altay
124,Baoji Air Base,Baoji,CN,Baoji Air Base - Baoji
125,Gonghe Air Base,,CN,Gonghe Air Base - nan
126,Lanzhou Air Base,Lanzhou,CN,Lanzhou Air Base - Lanzhou
127,Lintao Air Base,Dingxi,CN,Lintao Air Base - Dingxi
128,Qingshui Air Base,Jiuquan,CN,Qingshui Air Base - Jiuquan
129,Tianshui Maijishan Airport,Tianshui,CN,Tianshui Maijishan Airport - Tianshui
130,Ürümqi South Air Base,Ürümqi,CN,Ürümqi South Air Base - Ürümqi
131,Uxxaktal Air Base,"Hoxud, Bayingolin",CN,"Uxxaktal Air Base - Hoxud, Bayingolin"
132,Wugong Air Base,,CN,Wugong Air Base - nan
133,Ürümqi Changji Air Base,Ashilixiang,CN,Ürümqi Changji Air Base - Ashilixiang
134,Wuwei Air Base,,CN,Wuwei Air Base - nan
135,Xi'an Air Base,Xi'an,CN,Xi'an Air Base - Xi'an
136,Xincheng Air Base,Ganzhou,CN,Xincheng Air Base - Ganzhou
137,Yaerbashi Test Range,"Yizhou, Hami",CN,"Yaerbashi Test Range - Yizhou, Hami"
138,Yanliang Air Base,,CN,Yanliang Air Base - nan
139,Daishan Air Base,Zhoushan,CN,Daishan Air Base - Zhoushan
140,Feidong Air Base,Hefei,CN,Feidong Air Base - Hefei
141,Fuzhou Air Base,Fuzhou,CN,Fuzhou Air Base - Fuzhou
142,Huian Air Base,,CN,Huian Air Base - nan
143,Hangzhou Jianqiao Airport,Hangzhou,CN,Hangzhou Jianqiao Airport - Hangzhou
144,Jiaxing Airport / Jiaxing Air Base,"Xiuzhou, Hangzhou",CN,"Jiaxing Airport / Jiaxing Air Base - Xiuzhou, Hangzhou"
145,Longtian Air Base,Fuzhou (Fuqing),CN,Longtian Air Base - Fuzhou (Fuqing)
146,Longyou Air Base,,CN,Longyou Air Base - nan
147,Nanchang Xiangtang Air Base,Nanchang,CN,Nanchang Xiangtang Air Base - Nanchang
148,Ningbo Zhuangqiao Air Base,Ningbo,CN,Ningbo Zhuangqiao Air Base - Ningbo
149,Shanghai Dachang Air Base,Shanghai (Baoshan),CN,Shanghai Dachang Air Base - Shanghai (Baoshan)
150,Zhangshu Air Base,Yichun,CN,Zhangshu Air Base - Yichun
151,Changchun Air Base,Changchun,CN,Changchun Air Base - Changchun
152,Chifeng Air Base,,CN,Chifeng Air Base - nan
153,Beijing Nanjiao Airport,Beijing,CN,Beijing Nanjiao Airport - Beijing
154,Dandong Langtou Airport,"Zhenxing, Dandong",CN,"Dandong Langtou Airport - Zhenxing, Dandong"
155,Dingxin/Shuangchengzi Air Base,,CN,Dingxin/Shuangchengzi Air Base - nan
156,Fuxin Air Base,"Xihe, Fuxin",CN,"Fuxin Air Base - Xihe, Fuxin"
157,Gongzhuling Air Base,Siping,CN,Gongzhuling Air Base - Siping
158,Kaiyuan Air Base,"Qinghe, Tieling",CN,"Kaiyuan Air Base - Qinghe, Tieling"
159,Lalin Air Base,Harbin,CN,Lalin Air Base - Harbin
160,Pingquan Air Base,,CN,Pingquan Air Base - nan
161,Shenyang Beiling Air Base,"Huanggu, Shenyang",CN,"Shenyang Beiling Air Base - Huanggu, Shenyang"
162,Shenyang Yuhong Quansheng Airport,"Yuhong, Shenyang",CN,"Shenyang Yuhong Quansheng Airport - Yuhong, Shenyang"
163,Siping Air Base,Siping,CN,Siping Air Base - Siping
164,Suizhong Air Base,Huludao,CN,Suizhong Air Base - Huludao
165,Tuchengzi Air Base,"Lüshunkou, Dalian",CN,"Tuchengzi Air Base - Lüshunkou, Dalian"
166,Sanshilipu Air Base,"Jinzhou, Dalian",CN,"Sanshilipu Air Base - Jinzhou, Dalian"
167,Brampton-Caledon Airport,,CA,Brampton-Caledon Airport - nan
168,Lefkoniko Airport / Geçitkale Air Base,Geçitkale,CY,Lefkoniko Airport / Geçitkale Air Base - Geçitkale
169,Cat Lake Airport,Cat Lake,CA,Cat Lake Airport - Cat Lake
170,Fort Frances Municipal Airport,Fort Frances,CA,Fort Frances Municipal Airport - Fort Frances
171,La Grande-4 Airport,La Grande-4,CA,La Grande-4 Airport - La Grande-4
172,Alert Bay Airport,Alert Bay,CA,Alert Bay Airport - Alert Bay
173,Sault Ste Marie Airport,Sault Ste Marie,CA,Sault Ste Marie Airport - Sault Ste Marie
174,Kasabonika Airport,Kasabonika,CA,Kasabonika Airport - Kasabonika
175,Kangirsuk Airport,Kangirsuk,CA,Kangirsuk Airport - Kangirsuk
176,Attawapiskat Airport,Attawapiskat,CA,Attawapiskat Airport - Attawapiskat
177,Winnipeg / St. Andrews Airport,Saint Andrews,CA,Winnipeg / St. Andrews Airport - Saint Andrews
178,Lac Du Bonnet Airport,Lac Du Bonnet,CA,Lac Du Bonnet Airport - Lac Du Bonnet
179,St. Anthony Airport,St. Anthony,CA,St. Anthony Airport - St. Anthony
180,Tofino / Long Beach Airport,Tofino,CA,Tofino / Long Beach Airport - Tofino
181,Kugaaruk Airport,Kugaaruk,CA,Kugaaruk Airport - Kugaaruk
182,Baie-Comeau Airport,Baie-Comeau,CA,Baie-Comeau Airport - Baie-Comeau
183,Bella Coola Airport,Bella Coola,CA,Bella Coola Airport - Bella Coola
184,Uranium City Airport,Uranium City,CA,Uranium City Airport - Uranium City
185,Bonnyville Airport,Bonnyville,CA,Bonnyville Airport - Bonnyville
186,CFB Bagotville,Bagotville,CA,CFB Bagotville - Bagotville
187,Baker Lake Airport,Baker Lake,CA,Baker Lake Airport - Baker Lake
188,Campbell River Airport,Campbell River,CA,Campbell River Airport - Campbell River
189,Tadoule Lake Airport,Tadoule Lake,CA,Tadoule Lake Airport - Tadoule Lake
190,Brandon Municipal Airport,Brandon,CA,Brandon Municipal Airport - Brandon
191,Brochet Airport,Brochet,CA,Brochet Airport - Brochet
192,Nipawin Airport,Nipawin,CA,Nipawin Airport - Nipawin
193,Berens River Airport,Berens River,CA,Berens River Airport - Berens River
194,Calgary / Springbank Airport,Calgary,CA,Calgary / Springbank Airport - Calgary
195,Lourdes-de-Blanc-Sablon Airport,Lourdes-de-Blanc-Sablon,CA,Lourdes-de-Blanc-Sablon Airport - Lourdes-de-Blanc-Sablon
196,Cartwright Airport,Cartwright,CA,Cartwright Airport - Cartwright
197,Cambridge Bay Airport,Cambridge Bay,CA,Cambridge Bay Airport - Cambridge Bay
198,Cornwall Regional Airport,Cornwall,CA,Cornwall Regional Airport - Cornwall
199,Nanaimo Airport,Nanaimo,CA,Nanaimo Airport - Nanaimo
200,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA,Centralia / James T. Field Memorial Aerodrome - Huron Park
201,Castlegar/West Kootenay Regional Airport,Castlegar,CA,Castlegar/West Kootenay Regional Airport - Castlegar
202,Miramichi Airport,Miramichi,CA,Miramichi Airport - Miramichi
203,Charlo Airport,Charlo,CA,Charlo Airport - Charlo
204,Cochrane Airport,Cochrane,CA,Cochrane Airport - Cochrane
205,Kugluktuk Airport,Kugluktuk,CA,Kugluktuk Airport - Kugluktuk
206,Blue River Airport,Blue River,CA,Blue River Airport - Blue River
207,Chetwynd Airport,Chetwynd,CA,Chetwynd Airport - Chetwynd
208,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,CA,Cross Lake (Charlie Sinclair Memorial) Airport - Cross Lake
209,Chesterfield Inlet Airport,Chesterfield Inlet,CA,Chesterfield Inlet Airport - Chesterfield Inlet
210,Clyde River Airport,Clyde River,CA,Clyde River Airport - Clyde River
211,Dawson City Airport,Dawson City,CA,Dawson City Airport - Dawson City
212,Burwash Airport,Burwash,CA,Burwash Airport - Burwash
213,Princeton Airport,Town of Princeton,CA,Princeton Airport - Town of Princeton
214,Deer Lake Airport,Deer Lake,CA,Deer Lake Airport - Deer Lake
215,Ross River Airport,Ross River,CA,Ross River Airport - Ross River
216,Dauphin Barker Airport,Dauphin,CA,Dauphin Barker Airport - Dauphin
217,Dolbeau St Felicien Airport,Dolbeau-St-Félicien,CA,Dolbeau St Felicien Airport - Dolbeau-St-Félicien
218,Nain Airport,Nain,CA,Nain Airport - Nain
219,Dawson Creek Airport,Dawson Creek,CA,Dawson Creek Airport - Dawson Creek
220,Huronia Airport,Midland,CA,Huronia Airport - Midland
221,Edmonton International Airport,Edmonton,CA,Edmonton International Airport - Edmonton
222,Arviat Airport,Arviat,CA,Arviat Airport - Arviat
223,Elliot Lake Municipal Airport,Elliot Lake,CA,Elliot Lake Municipal Airport - Elliot Lake
224,Manitoulin East Municipal Airport,Sheguiandah,CA,Manitoulin East Municipal Airport - Sheguiandah
225,Estevan Airport,Estevan,CA,Estevan Airport - Estevan
226,Fort Severn Airport,Fort Severn,CA,Fort Severn Airport - Fort Severn
227,Edson Airport,Edson,CA,Edson Airport - Edson
228,Inuvik Mike Zubko Airport,Inuvik,CA,Inuvik Mike Zubko Airport - Inuvik
229,Amos/Magny Airport,Amos,CA,Amos/Magny Airport - Amos
230,Fort Albany Airport,Fort Albany,CA,Fort Albany Airport - Fort Albany
231,Iqaluit Airport,Iqaluit,CA,Iqaluit Airport - Iqaluit
232,Fredericton Airport,Fredericton,CA,Fredericton Airport - Fredericton
233,Forestville Airport,Forestville,CA,Forestville Airport - Forestville
234,Fort Hope Airport,Fort Hope,CA,Fort Hope Airport - Fort Hope
235,Mont-Tremblant International Airport,La Macaza,CA,Mont-Tremblant International Airport - La Macaza
236,Flin Flon Airport,Flin Flon,CA,Flin Flon Airport - Flin Flon
237,Fort Resolution Airport,Fort Resolution,CA,Fort Resolution Airport - Fort Resolution
238,Fort Simpson Airport,Fort Simpson,CA,Fort Simpson Airport - Fort Simpson
239,Makkovik Airport,Makkovik,CA,Makkovik Airport - Makkovik
240,Texada Gillies Bay Airport,Texada,CA,Texada Gillies Bay Airport - Texada
241,Goderich Airport,Goderich,CA,Goderich Airport - Goderich
242,Golden Airport,Golden,CA,Golden Airport - Golden
243,Fort Good Hope Airport,Fort Good Hope,CA,Fort Good Hope Airport - Fort Good Hope
244,Kingston Norman Rogers Airport,Kingston,CA,Kingston Norman Rogers Airport - Kingston
245,La Grande Rivière Airport,La Grande Rivière,CA,La Grande Rivière Airport - La Grande Rivière
246,Gimli Industrial Park Airport,Gimli,CA,Gimli Industrial Park Airport - Gimli
247,Gods Lake Narrows Airport,Gods Lake Narrows,CA,Gods Lake Narrows Airport - Gods Lake Narrows
248,Gaspé (Michel-Pouliot) Airport,Gaspé,CA,Gaspé (Michel-Pouliot) Airport - Gaspé
249,Geraldton Greenstone Regional Airport,Geraldton,CA,Geraldton Greenstone Regional Airport - Geraldton
250,Îles-de-la-Madeleine Airport,Îles-de-la-Madeleine,CA,Îles-de-la-Madeleine Airport - Îles-de-la-Madeleine
251,Igloolik Airport,Igloolik,CA,Igloolik Airport - Igloolik
252,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,Havre-Saint-Pierre Airport - Havre-Saint-Pierre
253,Kuujjuarapik Airport,Kuujjuarapik,CA,Kuujjuarapik Airport - Kuujjuarapik
254,Gillam Airport,Gillam,CA,Gillam Airport - Gillam
255,Grise Fiord Airport,Grise Fiord,CA,Grise Fiord Airport - Grise Fiord
256,Quaqtaq Airport,Quaqtaq,CA,Quaqtaq Airport - Quaqtaq
257,Dryden Regional Airport,Dryden,CA,Dryden Regional Airport - Dryden
258,Hope Airport / FVRD Regional Airpark,Hope,CA,Hope Airport / FVRD Regional Airpark - Hope
259,Hearst René Fontaine Municipal Airport,Hearst,CA,Hearst René Fontaine Municipal Airport - Hearst
260,Nemiscau Airport,Nemiscau,CA,Nemiscau Airport - Nemiscau
261,Ulukhaktok Holman Airport,Ulukhaktok,CA,Ulukhaktok Holman Airport - Ulukhaktok
262,Gjoa Haven Airport,Gjoa Haven,CA,Gjoa Haven Airport - Gjoa Haven
263,John C. Munro Hamilton International Airport,Hamilton,CA,John C. Munro Hamilton International Airport - Hamilton
264,Hornepayne Municipal Airport,Hornepayne,CA,Hornepayne Municipal Airport - Hornepayne
265,Hopedale Airport,Hopedale,CA,Hopedale Airport - Hopedale
266,Chevery Airport,Chevery,CA,Chevery Airport - Chevery
267,Haines Junction Airport,Haines Junction,CA,Haines Junction Airport - Haines Junction
268,Montréal / Saint-Hubert Airport,Montréal,CA,Montréal / Saint-Hubert Airport - Montréal
269,Hay River / Merlyn Carter Airport,Hay River,CA,Hay River / Merlyn Carter Airport - Hay River
270,Halifax / Stanfield International Airport,Halifax,CA,Halifax / Stanfield International Airport - Halifax
271,Atikokan Municipal Airport,Atikokan,CA,Atikokan Municipal Airport - Atikokan
272,Digby / Annapolis Regional Airport,Digby,CA,Digby / Annapolis Regional Airport - Digby
273,St Augustin Airport,St-Augustin,CA,St Augustin Airport - St-Augustin
274,Ivujivik Airport,Ivujivik,CA,Ivujivik Airport - Ivujivik
275,Pond Inlet Airport,Pond Inlet,CA,Pond Inlet Airport - Pond Inlet
276,Island Lake Airport,Island Lake,CA,Island Lake Airport - Island Lake
277,Fort Liard Airport,Fort Liard,CA,Fort Liard Airport - Fort Liard
278,St Jean Airport,St Jean,CA,St Jean Airport - St Jean
279,Stephenville Airport,Stephenville,CA,Stephenville Airport - Stephenville
280,Kamloops Airport,Kamloops,CA,Kamloops Airport - Kamloops
281,Aklavik/Freddie Carmichael Airport,Aklavik,CA,Aklavik/Freddie Carmichael Airport - Aklavik
282,Waterloo Airport,Kitchener,CA,Waterloo Airport - Kitchener
283,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,CA,Kangiqsujuaq (Wakeham Bay) Airport - Kangiqsujuaq
284,Key Lake Airport,Key Lake,CA,Key Lake Airport - Key Lake
285,Schefferville Airport,Schefferville,CA,Schefferville Airport - Schefferville
286,Akulivik Airport,Akulivik,CA,Akulivik Airport - Akulivik
287,Waskaganish Airport,Waskaganish,CA,Waskaganish Airport - Waskaganish
288,Kirkland Lake Airport,Kirkland Lake,CA,Kirkland Lake Airport - Kirkland Lake
289,Kindersley Airport,Kindersley,CA,Kindersley Airport - Kindersley
290,Buttonville Municipal Airport,Toronto,CA,Buttonville Municipal Airport - Toronto
291,Aupaluk Airport,Aupaluk,CA,Aupaluk Airport - Aupaluk
292,Kimmirut Airport,Kimmirut,CA,Kimmirut Airport - Kimmirut
293,Chapleau Airport,Chapleau,CA,Chapleau Airport - Chapleau
294,Lansdowne House Airport,Lansdowne House,CA,Lansdowne House Airport - Lansdowne House
295,Meadow Lake Airport,Meadow Lake,CA,Meadow Lake Airport - Meadow Lake
296,Lutselk'e Airport,Lutselk'e,CA,Lutselk'e Airport - Lutselk'e
297,Lloydminster Airport,Lloydminster,CA,Lloydminster Airport - Lloydminster
298,Leaf Rapids Airport,Leaf Rapids,CA,Leaf Rapids Airport - Leaf Rapids
299,Alert Airport,Alert,CA,Alert Airport - Alert
300,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,CA,Kangiqsualujjuaq (Georges River) Airport - Kangiqsualujjuaq
301,Kelowna International Airport,Kelowna,CA,Kelowna International Airport - Kelowna
302,Mayo Airport,Mayo,CA,Mayo Airport - Mayo
303,Matane Airport,Matane,CA,Matane Airport - Matane
304,Manitouwadge Airport,Manitouwadge,CA,Manitouwadge Airport - Manitouwadge
305,Mary's Harbour Airport,Mary's Harbour,CA,Mary's Harbour Airport - Mary's Harbour
306,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,Moose Jaw Air Vice Marshal C. M. McEwen Airport - Moose Jaw
307,Charlevoix Airport,Charlevoix,CA,Charlevoix Airport - Charlevoix
308,Fort McMurray Airport,Fort McMurray,CA,Fort McMurray Airport - Fort McMurray
309,Moosonee Airport,Moosonee,CA,Moosonee Airport - Moosonee
310,Chapais Airport,Chibougamau,CA,Chapais Airport - Chibougamau
311,Umiujaq Airport,Umiujaq,CA,Umiujaq Airport - Umiujaq
312,Montreal International (Mirabel) Airport,Montréal,CA,Montreal International (Mirabel) Airport - Montréal
313,Natashquan Airport,Natashquan,CA,Natashquan Airport - Natashquan
314,Wemindji Airport,Wemindji,CA,Wemindji Airport - Wemindji
315,Ottawa / Gatineau Airport,Gatineau,CA,Ottawa / Gatineau Airport - Gatineau
316,Norway House Airport,Norway House,CA,Norway House Airport - Norway House
317,Points North Landing Airport,Points North Landing,CA,Points North Landing Airport - Points North Landing
318,Matagami Airport,Matagami,CA,Matagami Airport - Matagami
319,Nejanilini Lake Airport,Nejanilini Lake,CA,Nejanilini Lake Airport - Nejanilini Lake
320,Ekati Airport,Ekati,CA,Ekati Airport - Ekati
321,Old Crow Airport,Old Crow,CA,Old Crow Airport - Old Crow
322,CFB Cold Lake,Cold Lake,CA,CFB Cold Lake - Cold Lake
323,Oxford House Airport,Oxford House,CA,Oxford House Airport - Oxford House
324,High Level Airport,High Level,CA,High Level Airport - High Level
325,Oshawa Executive Airport,Oshawa,CA,Oshawa Executive Airport - Oshawa
326,Rainbow Lake Airport,Rainbow Lake,CA,Rainbow Lake Airport - Rainbow Lake
327,Owen Sound / Billy Bishop Regional Airport,Owen Sound,CA,Owen Sound / Billy Bishop Regional Airport - Owen Sound
328,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,Ottawa Macdonald-Cartier International Airport - Ottawa
329,Prince Albert Glass Field,Prince Albert,CA,Prince Albert Glass Field - Prince Albert
330,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,CA,Paulatuk (Nora Aliqatchialuk Ruben) Airport - Paulatuk
